product_id, brand, desc, size, original_price, new_price, price_change
4059818,Acronym  Nike,AF1 Lunar Force 1,10,$320,$288,10.0%
6021830,Acronym,J47R-GT Sz Small Full Pack,s,$1900,$1710,10.0%
4226524,Acronym  Nike,Lunar Force 1 Crimson,11,$350,-,
4823989,Acronym,P16A-S,32,$600,$550,8.33%
7774424,Acronym,3A-3TS,os,$925,$673,27.24%
6821434,Acronym  Nike,Lunar Force 1,9,$590,-,
3043745,Acronym  Nike,Air Presto Mid / ,8.5,$700,$650,7.14%
2701451,Acronym,Stash,xl,$800,$471,41.13%
8414891,Acronym  Nike,Nike x  Air Force 1 Low White,10.5,$320,-,
6599515,Acronym,P5TS-S Cargo Trousers - XL,36,$500,-,
5378058,Acronym  Nike,Nike VaporMax Fk Moc/,7.5,$160,$150,6.25%
5157610,Acronym,S-J1A,s,$3000,-,
7915421,Acronym,J36-GT,s,$2400,$1944,19.0%
2021951,Acronym  Nike,Nike X  Presto Mid,7.5,$700,-,
8414890,Acronym  Nike,Nike x  Air Force 1 Low White,10.5,$320,-,
6750248,Acronym,P22-DS Small,30,$1530,-,
4274236,Acronym  Nike,Nike  AF100 Lunar Force One Size 13,13,$360,$291,19.17%
7272094,Acronym, | J47TS-GT | Size:L,l,$2800,-,
5671587,Acronym,J16-GT,m,$2500,-,
8363349,Acronym  Nike, black forces rare og all,9,$400,$261,34.75%
7134875,Acronym  Nike,Nike X  lunar force 1 AF100,10.5,$370,$333,10.0%
7760537,Acronym,J1A-GT,s,$3950,-,
7948362,Acronym,J47-GT AW2015 - MEDIUM,m,$1450,-,
7225849,Acronym,J38-GT (M, Full Pack),m,$2200,-,
5529596,Acronym,P20-S,32,$1500,-,
8493609,Acronym, J28-GT L FULL PACK,l,$3000,$2700,10.0%
6504095,Acronym,P23TS-CH,32,$1100,-,
7272020,Acronym  Nike,Lunar Force 1 Black White,9.5,$330,-,
5671603,Acronym,S-CP2,l,$3500,-,
2204779,Acronym  Nemen,S13-W,l,$650,$526,19.08%
7972243,Acronym  Nike,Vapormax FK Moc 2 Light Bone SZ US 11,11,$220,$198,10.0%
7923064,Acronym  Nike,Nike x  AF100 Berlin Event Tee,l,$250,-,
8209525,Acronym,P24A-S,32,$1249,$1124,10.01%
7941105,Acronym,3a-1 Laminate,os,$1600,$1296,19.0%
5671630,Acronym,J41-GT,xl,$1850,-,
8176766,Acronym  Nike,Lunar Air Force 1 All White Acrnm,8,$545,-,
7378244,Acronym,P10-S Black,34,$750,-,
7378148,Acronym,J32-GT,l,$1000,-,
7552487,Acronym  Nike,Air Presto Mid ,8.5,$620,-,
7496046,Acronym, J47TS-GT-WHT 3L Gore-Tex® Pro Tec Sys Interops Jacket Size Medium,m,$2700,-,
8462031,Acronym, J47TS-GT-WHT 3L Gore-Tex® Pro Tec Sys Interops Jacket Size Medium,m,$2850,-,
7747331,Acronym  Nike,Lunar Force 1 ,10,$210,-,
5827063,Acronym, Vapormax,10,$225,$202,10.22%
7076676,Acronym,3a-1 x-pac,os,$1650,-,
6041305,Acronym,3A-3TS X-PAC,os,$1400,$850,39.29%
6773880,Acronym,P17-S,36,$800,-,
7178398,Acronym,S15-DS (M, Full Pack),m,$650,-,
6278451,Acronym,2015 Lunar Force 1,12,$259,$233,10.04%
7508313,Acronym  Nike,Lunar Force 1 Multi,9.5,$800,$650,18.75%
6123296,Acronym,J58-WS,m,$4000,$2124,46.9%
7256672,Acronym,GT-J17  Anorak,m,$950,-,
6949314,Acronym  Nike,Nike Vapormax X ,10.5,$189,-,
5743682,Acronym,j1ts-s,s,$1760,$1425,19.03%
7007323,Acronym,P26-S Flight Pants,30,$630,-,
7004091,Acronym,P10-s RAF ss18 Size S,30,$1200,$1080,10.0%
7938934,Acronym,J1B-S,m,$1550,$1255,19.03%
7589946,Acronym  Nike,Nike Air Force 1 Low  AF100 White Sneaker Shoes,11.5,$425,$343,19.29%
7265836,Acronym  Nike,Nike  AF1,11.5,$350,$254,27.43%
7995464,Acronym,J32-GT,l,$1100,-,
6608638,Acronym,J68-S,l,$1575,-,
5783246,Acronym, SS J10 3XDRY® SOFTSHELL CONTOUR JACKET,s,$550,$445,19.09%
5667885,Acronym  Nike,nike x  air force,13,$330,-,
7860435,Acronym,3A-1,os,$1600,-,
6692077,Acronym  Nemen,S8-C Black Tank Top,m,$350,$315,10.0%
4329718,Acronym  Nike,Air Force 1 Downtown  Black Olive,8.5,$250,$202,19.2%
7947086,Acronym,P16-AS AW2014 - SMALL,31,$875,-,
1817652,Acronym  Nike,NIKE® AF1 'Downtown' Hi SP / ® DAF1-003, deadstock, BNIB [2017],9,$385,$279,27.53%
4435465,Acronym, GT-J12,m,$1100,$891,19.0%
3730500,Acronym  Nike,Nike Air Force ,10.5,$500,-,
3306438,Acronym,Futura x  x BeingHunted x Montana Cans,m,$777,-,
8009506,Acronym,P15-CH,34,$1000,$656,34.4%
7975431,Acronym,P23a-s - black - size L,34,$1650,$1336,19.03%
6123159,Acronym,P23TS-S,32,$4000,$1911,52.23%
7946581,Acronym  Nike,NIKE FRIENDS & FAMILY ERROLSON HUGH STATUE,os,$310,-,
5807070,Acronym, 3A-10TS XPAC,os,$550,-,
8507967,Acronym, J1b-s,xl,$1300,-,
8136673,Acronym,P23-S,30,$1850,$1665,10.0%
7076541,Acronym,J66gt,s,$1450,-,
4649914,Acronym,3A-3TS BLK,os,$2000,$1620,19.0%
7998145,Acronym, P23a-s FW18,30,$2000,$1800,10.0%
6495860,Acronym,J64TS-S,s,$1575,$1175,25.4%
4283421,Acronym  Nike,Nike X  AF1 Downtown HI,9.5,$300,$176,41.33%
3749881,Acronym  Nike,Nike Lunar Force 1/  '17,9.5,$700,-,
1939674,Acronym,SS-J8 softshell jacket,m,$1600,-,
7750547,Acronym  Nike,ACRNM Presto,8,$275,$247,10.18%
5199634,Acronym  Nike,Air VaporMax FK MOC 2.0 Black Volt Collab AQ0996-007,10,$226,-,
8210416,Acronym  Nemen,LA5-MP Object Dyed Multiprene Black,l,$800,$400,50.0%
8210204,Acronym,J16-GT,s,$2000,-,
8073641,Acronym,SM1-AK & Bonus  Promotional Hat,os,$375,-,
7299111,Acronym,P23TS-S black,34,$1000,$900,10.0%
6174219,Acronym  Nike,Air Presto Mid  Bamboo,9.5,$650,-,
8450415,Acronym,P23TS-S,34,$1500,$1350,10.0%
8194499,Acronym  Nike,Air Presto Mid ,11,$175,$141,19.43%
8399796,Acronym,j1b-s,m,$1800,-,
7910726,Acronym,J47TS-GT Black size M,m,$2800,-,
7378254,Acronym,P10-S Raf Green,34,$750,-,
5433069,Acronym, 3A-3TS Silver Foil,os,$1215,-,
7661240,Acronym  Nike,Lunar Force 1 Low  Black White,9,$550,-,
5671565,Acronym,E-J23,l,$1300,-,
7718397,Acronym  Nike,Nike x  Lunar Force 1 SP Black - White Sz 9.5,9.5,$550,$445,19.09%
7924406,Acronym,J57TS-SS,l,$985,$797,19.09%
6908746,Acronym,***FINAL DROP***NG8-PS,os,$294,-,
8451250,Acronym,J72-DS Kimono,m,$800,-,
2295216,Acronym  Nike,Nike x  Air Force 1 Downtown Hi SP,9,$380,$330,13.16%
1846418,Acronym  Nike, AF 1 Downtown HI SP DSWT,8,$234,-,
4806605,Acronym,SS-J1FB,l,$1100,$891,19.0%
7921172,Acronym,P23A-S,30,$2000,$1800,10.0%
6178319,Acronym,J68-S (White / size M),m,$3000,$2200,26.67%
6173201,Acronym  Nike,AF1 Air Force 1 Downtown HI SP Lunar - Black / White / Olive,8.5,$300,$243,19.0%
4093655,Acronym  Nike,Lunar Force 1 Low ,13,$360,$324,10.0%
8075687,Acronym  Nike, Presto,9,$600,-,
6921208,Acronym  Hypebeast, x ROBORACE HYPEFEST [SZ L] BLACK T SHIRT TEE BLACK HOODIE PINK #1 #2 LARGE,l,$150,-,
6026306,Acronym  Nike,Lunar Force 1/ 2017,10.5,$250,-,
2517754,Acronym  Edition Japan,FASHION　2017.05.19 BLAME! x ® by Edition 夢のコラボ実現,s,$220,-,
2092469,Acronym,J1TS-S,s,$3400,-,
6865502,Acronym,J72-DS WHITE,m,$1000,$900,10.0%
7847584,Acronym  Nike,Nike X  Presto Mid Bamboo,8,$420,$306,27.14%
7976010,Acronym,J47TS-GT Black Small,s,$3000,-,
